,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
35,Lebu,67,ET,1559782020,66,8.96,38.73,59.45,1.59
36,Khatanga,27,RU,1559782021,54,71.98,102.47,53.15,4.72
37,Tuktoyaktuk,40,CA,1559782022,50,69.44,-133.03,53.6,12.75
38,Port Alfred,56,ZA,1559782024,80,-33.59,26.89,55.99,5.99
39,Pontianak,40,ID,1559782025,88,-0.02,109.34,80.6,10.16
40,Marsh Harbour,14,BS,1559781836,79,26.54,-77.06,80.87,10.27
41,Molo,10,KE,1559782027,99,-0.25,35.73,50.63,1.97
42,Virginia Beach,90,US,1559781740,88,36.85,-75.98,73.99,8.05
43,Davila,96,PH,1559782029,71,18.47,120.58,86.45,3.06
44,Huadian,100,CN,1559782030,75,42.97,126.75,68.09,2.73
45,Borazjan,0,IR,1559782031,62,29.27,51.21,84.2,1.05
46,Qaanaaq,96,GL,1559782033,78,77.48,-69.36,27.05,1.19
47,Port Elizabeth,20,US,1559782034,94,39.31,-74.98,79.0,4.7
48,Chokurdakh,0,RU,1559782035,42,70.62,147.9,42.17,6.08
49,Norman Wells,75,CA,1559782036,66,65.28,-126.83,48.2,8.05
50,Bredasdorp,52,ZA,1559782037,87,-34.53,20.04,51.8,8.05
51,Lata,52,IN,1559782039,40,30.78,78.62,34.07,8.97
52,Tarko-Sale,66,RU,1559782040,51,64.92,77.78,57.0,1.99
53,Spring Valley,20,US,1559781808,83,41.11,-74.04,80.6,9.17
54,Tasiilaq,0,GL,1559782043,60,65.61,-37.64,32.0,2.24
55,Nemuro,75,JP,1559782044,87,43.32,145.57,51.8,6.93
56,Hobart,75,AU,1559782035,54,-42.88,147.33,60.01,2.24
57,Kapaa,20,US,1559782046,65,22.08,-159.32,82.4,13.87
58,Khani,75,GE,1559782047,94,41.96,42.96,71.6,2.24
59,Mogadishu,97,SO,1559782049,83,2.04,45.34,77.81,12.77
60,Clyde River,62,CA,1559782050,67,70.47,-68.59,38.93,11.59
61,Karasburg,19,NA,1559782051,55,-28.01,18.75,51.89,5.08
62,Busselton,100,AU,1559782052,16,-33.64,115.35,66.0,37.92
63,Ballina,100,IE,1559782054,94,54.11,-9.15,46.99,7.0
64,Rome,0,IT,1559781800,88,41.89,12.48,64.0,3.36
65,Saint-Joseph,0,FR,1559782056,87,43.56,6.97,66.0,4.7
66,Barcelos,40,PT,1559782057,76,41.53,-8.62,57.2,5.82
67,Barrow,100,AR,1559782058,87,-38.31,-60.23,55.31,8.1
68,Katsuura,40,JP,1559782060,65,33.93,134.5,78.8,9.17
69,Tiksi,0,RU,1559782061,73,71.64,128.87,33.17,8.52
70,Lompoc,1,US,1559781806,68,34.64,-120.46,73.99,13.87
71,Rio Grande,47,BR,1559782063,90,-32.03,-52.1,56.75,4.94
72,Khilok,27,RU,1559782064,51,51.36,110.46,51.53,3.44
73,Hermanus,54,ZA,1559782065,99,-34.42,19.24,51.01,8.99
74,Isangel,90,VU,1559782066,88,-19.55,169.27,77.0,11.41
75,Mountain Home,1,US,1559782020,16,43.13,-115.69,87.8,6.93
76,Puerto Ayora,20,EC,1559782069,65,-0.74,-90.35,78.8,16.11
77,Kholodnyy,83,RU,1559782070,55,62.72,147.95,55.13,7.4
78,Mangan,14,IN,1559782071,60,27.5,88.54,58.19,2.44
79,Praia,0,BR,1559782072,71,-20.25,-43.81,59.0,4.7
80,Nikolskoye,0,RU,1559782074,72,59.7,30.79,60.8,1.01
81,Kurayoshi,0,JP,1559782075,73,35.43,133.83,75.2,10.29
82,Novorzhev,0,RU,1559782076,95,57.03,29.33,62.15,4.29
83,Jiazi,0,CN,1559782077,79,19.61,110.49,86.0,11.18
84,Manta,37,RO,1559782079,88,45.1,24.1,53.33,6.42
85,Carnarvon,41,ZA,1559782080,70,-30.97,22.13,41.63,8.25
86,Wonthaggi,100,AU,1559782081,89,-38.6,145.59,55.99,11.39
87,Ciudad Guayana,100,VE,1559782082,62,8.32,-62.69,84.47,9.37
88,Ilulissat,5,GL,1559782083,45,69.22,-51.1,46.4,3.36
89,Tautira,75,PF,1559782084,83,-17.73,-149.15,78.8,8.05
90,Aqtobe,0,KZ,1559782086,66,50.28,57.21,51.8,11.18
91,Ancud,75,CL,1559782087,87,-41.87,-73.83,48.2,11.41
92,Rio Gallegos,0,AR,1559782088,86,-51.62,-69.22,37.4,12.75
93,Tilichiki,62,RU,1559782089,57,60.47,166.1,55.67,9.48
94,Longyearbyen,90,NO,1559782090,80,78.22,15.63,33.8,11.41
95,Steamboat Springs,1,US,1559782092,59,40.48,-106.83,78.8,4.25
96,Deputatskiy,0,RU,1559782093,38,69.3,139.9,45.05,9.17
97,Kodiak,40,US,1559782094,26,39.95,-94.76,87.8,5.82
98,Dikson,0,RU,1559782095,91,73.51,80.55,31.19,2.44
99,Georgetown,20,GY,1559781994,83,6.8,-58.16,82.4,9.17
100,Redmond,75,US,1559781855,55,47.67,-122.12,66.99,10.29
101,Lagoa,0,PT,1559782099,59,37.14,-8.45,60.8,10.29
102,Egvekinot,100,RU,1559781934,77,66.32,-179.17,47.03,5.53
103,Sola,0,FI,1559782101,76,62.78,29.36,57.2,3.36
104,Alofi,75,NU,1559782103,83,-19.06,-169.92,82.4,11.41
105,Maroantsetra,40,MG,1559782104,95,-15.43,49.74,61.61,3.94
106,Sao Mateus do Sul,55,BR,1559782105,98,-25.87,-50.38,49.19,2.82
107,Kavaratti,100,IN,1559782106,75,10.57,72.64,84.65,13.6
108,Waingapu,81,ID,1559782107,76,-9.65,120.26,75.29,15.77
109,Moranbah,100,AU,1559782109,50,-22.0,148.04,59.99,21.39
110,Shenzhen,20,CN,1559781825,84,22.54,114.05,89.01,11.18
111,Tuatapere,78,NZ,1559782111,68,-46.13,167.69,50.81,31.52
112,Maceio,0,BR,1559782112,74,-9.67,-35.74,78.8,1.12
113,Monteprandone,0,IT,1559782113,88,42.92,13.83,64.99,3.36
114,Murray Bridge,0,AU,1559782114,76,-35.12,139.28,57.0,2.19
115,Atuona,26,PF,1559782116,76,-9.8,-139.03,82.49,18.68
116,Pacific Grove,1,US,1559782117,72,36.62,-121.92,84.0,13.87
117,Castro,75,CL,1559782118,87,-42.48,-73.76,48.2,11.41
118,Bambous Virieux,75,MU,1559782119,78,-20.34,57.76,71.6,3.36
119,Namibe,0,AO,1559782121,66,-15.19,12.15,71.51,6.15
120,Bilibino,82,RU,1559782122,31,68.06,166.44,47.57,7.78
121,Santa Cruz,1,US,1559781997,63,36.97,-122.03,86.0,8.05
122,Puerto Quijarro,0,BO,1559782125,64,-19.0,-57.72,67.37,4.52
123,East London,100,ZA,1559782126,67,-33.02,27.91,49.91,3.6
124,Saskylakh,0,RU,1559782128,42,71.97,114.09,45.95,8.34
125,Chimbote,9,PE,1559782129,89,-9.08,-78.59,63.23,15.19
126,Kindu,0,CD,1559782130,72,-2.95,25.92,67.37,2.04
127,Maragogi,81,BR,1559782131,92,-9.01,-35.22,73.67,2.46
128,Grindavik,0,IS,1559782132,71,63.84,-22.43,42.8,18.34
129,Kirovskiy,35,RU,1559782134,74,45.09,133.51,66.47,9.69
130,Mabaruma,91,GY,1559782135,90,8.2,-59.78,75.65,3.11
131,Hithadhoo,46,MV,1559782136,79,-0.6,73.08,83.93,12.5
132,Nanzhang,74,CN,1559782137,79,31.78,111.84,69.35,4.16
133,Lorengau,98,PG,1559782139,71,-2.02,147.27,85.55,5.79
134,Umm Kaddadah,92,SD,1559782140,48,13.6,26.69,85.19,11.97
135,Carepa,75,CO,1559782141,83,7.76,-76.65,82.4,5.82
136,Iquique,90,CL,1559782114,63,-20.22,-70.14,64.4,9.17
137,Gilbues,19,BR,1559781997,58,-9.83,-45.34,72.95,5.01
138,Talnakh,0,RU,1559782144,80,69.49,88.39,39.2,13.42
139,Barranca,53,PE,1559782146,88,-10.75,-77.76,62.69,15.23
140,Sao Filipe,0,CV,1559782147,84,14.9,-24.5,74.39,11.79
141,Sarahan,53,IN,1559782148,23,31.51,77.79,56.75,8.12
142,Iranshahr,0,IR,1559782149,12,27.21,60.69,84.2,6.89
143,Greenfield,75,US,1559782151,56,42.59,-72.6,75.2,9.17
144,Jamestown,0,AU,1559782152,67,-33.21,138.6,48.47,4.52
145,Emba,0,CY,1559782154,59,34.81,32.42,69.8,1.12
146,Buchanan,75,LR,1559782155,94,5.88,-10.05,77.0,6.6
147,Hanyang,67,CN,1559782156,69,32.14,105.51,73.0,5.03
148,Norrtalje,0,SE,1559782157,77,59.76,18.7,62.6,3.36
149,Imbituba,40,BR,1559782084,93,-28.24,-48.67,60.8,2.24
150,Caravelas,43,BR,1559782159,72,-17.73,-39.27,74.93,11.23
151,Margate,75,AU,1559782160,54,-43.03,147.26,60.01,2.24
152,Bathsheba,20,BB,1559782162,74,13.22,-59.52,82.4,16.11
153,Acapulco,75,MX,1559782163,79,16.86,-99.88,84.2,3.36
154,Yumen,100,CN,1559782164,24,40.29,97.04,73.49,15.77
155,Jalu,0,LY,1559782165,31,29.03,21.55,80.51,10.89
156,Cape Coast,78,GH,1559782167,84,5.11,-1.24,80.15,12.97
157,Kota Belud,75,MY,1559782157,79,6.35,116.43,86.0,3.36
158,Quatre Cocos,75,MU,1559782169,78,-20.21,57.76,71.6,3.36
159,Lebanon,90,US,1559782139,93,43.64,-72.25,64.4,2.66
160,Ribeira Grande,0,PT,1559782171,86,38.52,-28.7,64.67,16.67
161,Ponta do Sol,0,BR,1559782172,90,-20.63,-46.0,53.87,5.17
162,Svarstad,64,NO,1559782174,100,59.4,9.97,55.99,5.82
163,Katete,99,UG,1559782175,92,-0.78,29.75,62.87,2.44
164,Polunochnoye,48,RU,1559782176,91,60.87,60.43,41.45,1.79
165,Semnan,69,IR,1559782177,44,35.58,53.39,67.37,2.01
166,Morris,1,US,1559782087,65,41.36,-88.42,81.0,7.47
167,Mehamn,10,NO,1559782180,75,71.03,27.85,42.89,5.88
168,Springbok,53,ZA,1559782181,83,-29.67,17.88,49.91,3.62
169,Zhigansk,33,RU,1559782182,55,66.77,123.37,61.97,8.86
170,Narsaq,100,GL,1559782183,65,60.91,-46.05,44.6,3.36
171,Adre,100,TD,1559782184,59,13.47,22.2,79.97,1.92
172,Taywarah,0,AF,1559782185,52,33.35,64.42,55.13,8.01
173,Santiago,0,CL,1559781964,67,-33.44,-70.65,66.99,6.93
174,Saint George,20,GR,1559782188,87,39.45,22.34,60.8,3.76
175,Anadyr,0,RU,1559782190,58,64.73,177.51,57.2,11.18
176,Butaritari,46,KI,1559782191,79,3.07,172.79,85.19,16.24
177,Yellowknife,75,CA,1559782192,43,62.45,-114.38,51.8,14.99
178,Novaya Lyalya,42,RU,1559782194,91,59.05,60.6,41.63,4.68
179,Troy,90,US,1559782195,88,42.73,-73.69,70.0,3.96
180,Honningsvag,19,NO,1559782138,79,70.98,25.97,41.99,5.64
181,Roverud,75,NO,1559782197,87,60.25,12.05,59.0,1.23
182,Ilinskiy,0,RU,1559782199,82,55.62,38.12,64.0,2.24
183,Guerrero Negro,3,MX,1559782200,87,27.97,-114.04,64.85,13.71
184,Pisco,90,PE,1559782201,30,-13.71,-76.2,71.6,11.41
185,Pyaozerskiy,33,RU,1559782202,86,65.83,31.17,42.53,6.4
186,Mar del Plata,37,AR,1559782204,54,-46.43,-67.52,49.01,18.88
187,Sheridan,75,US,1559782205,46,39.65,-105.03,72.0,10.29
188,Matara,1,PE,1559782206,81,-13.74,-72.9,35.87,4.54
189,Magadan,73,RU,1559782208,70,59.56,150.8,49.55,12.59
190,Noumea,75,NC,1559782209,64,-22.28,166.46,73.4,6.93
191,Horki,0,BY,1559782210,94,54.29,30.98,59.63,5.93
192,Linqiong,40,CN,1559782211,73,30.42,103.46,77.0,2.24
193,Hambantota,75,LK,1559782213,100,6.12,81.12,80.6,3.36
194,Omboue,88,GA,1559782214,85,-1.57,9.26,75.65,10.31
195,Zhezkazgan,75,KZ,1559782215,61,47.8,67.71,48.2,13.42
196,Saint-Philippe,90,CA,1559782217,93,45.36,-73.48,62.01,4.7
197,Kaitangata,92,NZ,1559782218,67,-46.28,169.85,51.01,8.01
198,Broome,100,GB,1559782219,93,52.47,1.45,53.6,2.24
199,Midyat,0,TR,1559782220,59,37.42,41.36,64.4,5.82
200,Mahebourg,75,MU,1559782221,78,-20.41,57.7,71.6,3.36
201,Chumikan,100,RU,1559782223,80,54.72,135.31,47.21,5.82
202,San Quintin,90,PH,1559782224,64,17.54,120.52,86.99,2.3
203,Kyren,99,RU,1559782225,89,51.68,102.13,36.77,3.04
204,Dali,10,CN,1559782226,81,25.6,100.24,62.33,2.71
205,Jalalpur Jattan,20,PK,1559782227,34,32.64,74.21,82.4,1.12
206,Nyuksenitsa,99,RU,1559782229,96,60.41,44.24,55.31,5.23
207,Bethel,1,US,1559782230,58,60.79,-161.76,62.6,14.99
208,Samana,64,EC,1559782232,84,0.12,-76.97,69.53,1.74
209,Srednekolymsk,94,RU,1559782233,49,67.46,153.71,45.23,15.5
210,Nishihara,40,JP,1559782234,57,35.74,139.53,86.0,5.82
211,Kananga,6,CD,1559782236,51,-5.9,22.41,64.13,1.95
212,Strezhevoy,0,RU,1559782237,62,60.73,77.6,59.0,8.95
213,Amapa,40,HN,1559782238,62,15.09,-87.97,87.8,11.41
214,Port Hardy,75,CA,1559782240,62,50.7,-127.42,57.2,20.8
215,Cherskiy,94,RU,1559782241,31,68.75,161.3,43.79,6.31
216,Aykhal,0,RU,1559782242,58,65.95,111.51,57.2,2.24
217,Changde,37,CN,1559782243,76,29.04,111.68,75.65,6.17
218,Somerset East,64,ZA,1559782244,51,-32.72,25.59,49.91,10.96
219,Richards Bay,54,ZA,1559782246,72,-28.77,32.06,73.13,17.05
220,Vila Franca do Campo,40,PT,1559782247,77,37.72,-25.43,64.4,16.11
221,Sherwood,20,US,1559782042,69,34.82,-92.22,80.6,14.99
222,Esperance,100,TT,1559782250,83,10.24,-61.45,81.0,4.7
223,Ketchikan,40,US,1559782251,51,55.34,-131.65,60.8,18.34
224,Matay,96,EG,1559782252,37,28.42,30.79,83.39,18.03
225,Janakpur,35,NP,1559782253,60,26.73,85.92,84.65,7.83
226,Kununurra,0,AU,1559782254,25,-15.77,128.74,64.4,13.87
227,Nizhnevartovsk,0,RU,1559782256,62,60.93,76.58,59.0,8.95
228,Opuwo,0,NA,1559782257,25,-18.06,13.84,58.19,4.07
229,Thompson,75,CA,1559782073,72,55.74,-97.86,59.0,5.82
230,Severo-Kurilsk,99,RU,1559782259,98,50.68,156.12,41.27,9.26
231,Mount Isa,91,AU,1559782260,33,-20.73,139.49,59.0,17.22
232,Lethem,88,GY,1559782261,71,3.38,-59.8,81.95,9.55
233,San Policarpo,99,PH,1559782263,74,12.18,125.51,84.83,8.81
234,Kutum,100,SD,1559782264,48,14.2,24.66,80.33,10.63
235,Kendari,36,ID,1559782265,86,-3.99,122.52,78.53,4.05
236,Souillac,19,FR,1559782266,93,45.6,-0.6,53.01,3.36
237,Torbay,40,CA,1559782268,57,47.66,-52.73,53.01,17.22
238,Barnaul,40,RU,1559782269,59,53.35,83.78,64.4,8.95
239,Erenhot,76,CN,1559782270,16,43.65,111.97,76.73,23.4
240,Bonavista,64,CA,1559782272,71,48.65,-53.11,51.01,10.0
241,Lentekhi,29,GE,1559782273,71,42.79,42.72,42.89,3.87
242,Valparaiso,40,US,1559782187,69,41.47,-87.06,80.6,8.05
243,Korampallam,40,IN,1559782275,83,8.77,78.1,80.6,7.61
244,Linjiang,94,CN,1559782276,75,41.81,126.91,68.63,2.8
245,Zhangjiakou,2,CN,1559782278,51,40.77,114.88,59.63,6.69
246,Vila Velha,40,BR,1559782279,78,-3.71,-38.6,82.4,6.93
247,Atambua,88,ID,1559782280,69,-9.11,124.89,79.79,18.97
248,Porto Torres,0,IT,1559782281,100,40.84,8.4,66.2,8.05
249,Port-Gentil,97,GA,1559782283,85,-0.72,8.78,76.37,10.42
250,Ambovombe,0,MG,1559782284,74,-25.18,46.09,73.49,12.44
251,Fortuna,0,ES,1559782285,30,38.18,-1.13,70.0,6.93
252,Le Port,39,FR,1559782287,70,42.87,1.37,52.0,126.01
253,Nueva Loja,64,EC,1559782288,84,0.08,-76.88,69.53,1.74
254,Zharkent,87,KZ,1559782289,78,44.17,80.0,47.39,1.16
255,Katangli,63,RU,1559782291,73,51.71,143.23,48.29,6.29
256,Det Udom,75,TH,1559782292,94,14.9,105.08,78.8,2.24
257,Quang Ngai,71,VN,1559782030,63,15.12,108.8,81.41,1.83
258,Campeche,40,MX,1559782294,70,19.84,-90.54,89.6,11.41
259,Novaya Igirma,99,RU,1559782295,69,57.14,103.93,56.39,0.6
260,Ada,1,US,1559782119,29,47.3,-96.52,82.4,3.36
261,Bograd,0,RU,1559782298,76,54.22,90.86,55.4,4.74
262,Almaznyy,0,RU,1559782299,42,48.03,40.04,68.0,11.18
263,Charters Towers,100,AU,1559782300,44,-20.07,146.27,59.27,17.0
264,Stonewall,75,CA,1559782302,28,50.13,-97.33,73.99,13.87
265,Powell River,40,CA,1559782303,59,49.84,-124.52,64.4,17.22
266,Windhoek,0,NA,1559782305,22,-22.57,17.08,55.4,5.82
267,Okato,32,NZ,1559782306,56,-39.19,173.88,59.0,7.0
268,Igrim,23,RU,1559782307,97,63.19,64.42,36.95,5.73
269,Touros,20,BR,1559782308,88,-5.2,-35.46,75.2,3.36
270,Pokhara,13,NP,1559782309,63,28.21,83.99,56.57,1.9
271,Robertsport,99,LR,1559782311,90,6.75,-11.37,77.27,3.53
272,Shahrud,79,IR,1559782312,54,36.42,54.97,51.71,1.81
273,Sabang,49,PH,1559782313,73,13.72,123.58,84.47,8.25
274,Goderich,100,CA,1559782314,98,43.74,-81.71,61.0,5.01
275,Laguna,5,MX,1559782316,51,27.52,-110.01,86.0,8.05
276,Dicabisagan,81,PH,1559782317,68,17.08,122.42,85.37,2.3
277,Fairbanks,75,US,1559782202,29,64.84,-147.72,72.0,4.7
278,Paso de Carrasco,0,UY,1559782186,72,-34.86,-56.05,61.0,12.75
279,Vestmanna,89,FO,1559782320,93,62.16,-7.17,44.6,11.41
280,Saint-Ambroise,0,FR,1559782322,93,47.25,-0.65,53.01,6.73
281,San Patricio,0,PY,1559782323,86,-26.98,-56.83,58.91,7.58
282,Vranov,0,CZ,1559782324,72,49.76,13.04,68.0,2.24
283,Shache,100,CN,1559782325,75,38.42,77.24,77.0,10.36
284,Palmer,75,AU,1559782065,62,-34.85,139.16,57.0,3.36
285,Port Hedland,0,AU,1559782328,23,-20.31,118.58,62.6,16.11
286,Cabo San Lucas,5,MX,1559782083,64,22.89,-109.91,82.99,16.11
287,Ichchapuram,97,IN,1559782330,85,19.11,84.69,81.77,11.99
288,Xining,18,CN,1559782331,59,36.62,101.77,51.53,1.36
289,Saldanha,13,PT,1559782332,74,41.42,-6.55,45.59,2.89
290,Registro,59,BR,1559782334,97,-24.5,-47.84,59.81,1.1
291,Maniitsoq,99,GL,1559782335,42,65.42,-52.9,51.53,5.61
292,Malindi,48,KE,1559782336,79,-3.22,40.12,75.47,9.33
293,Hasaki,75,JP,1559782338,69,35.73,140.83,81.0,3.36
294,Atasu,4,KZ,1559782339,62,48.68,71.64,49.91,8.95
295,Dunedin,89,NZ,1559782063,50,-45.87,170.5,53.01,4.0
296,Praxedis Guerrero,20,MX,1559782341,14,31.37,-106.02,89.6,11.41
297,Xingcheng,100,CN,1559782342,86,40.62,120.71,64.13,4.03
298,Potosi,0,BO,1559782344,21,-19.59,-65.75,42.53,3.87
299,Oranjemund,48,ZA,1559782345,85,-28.55,16.43,55.85,12.21
300,Nehe,33,CN,1559782346,55,48.48,124.88,65.57,3.67
301,Acajutla,99,SV,1559782347,91,13.59,-89.83,78.01,5.23
302,Klyuchi,35,RU,1559782348,67,52.25,79.17,59.27,10.25
303,Assiniboia,34,CA,1559782151,23,49.63,-105.99,75.47,8.21
304,Pahalgam,29,IN,1559782351,54,34.03,75.33,51.53,6.17
305,Puerto Carreno,40,CO,1559782163,94,6.19,-67.49,77.0,1.9
306,Bure,91,NG,1559782353,59,10.52,10.33,81.95,6.8
307,Rio Tuba,79,PH,1559782355,72,8.51,117.43,85.37,9.57
308,Saryozek,100,KZ,1559782158,83,44.36,77.98,61.79,9.89
309,Linxia,81,CN,1559782357,47,35.6,103.21,59.45,3.65
310,Thanh Hoa,75,VN,1559782358,100,10.21,106.33,80.6,2.24
311,Dingle,92,PH,1559782359,62,11.0,122.67,85.01,10.16
312,Sorong,86,ID,1559782361,75,-0.86,131.25,81.95,3.94
313,Jiexiu,0,CN,1559782365,62,37.02,111.92,63.95,4.88
314,Codrington,3,AU,1559782366,55,-28.95,153.24,64.0,10.29
315,Palauig,100,PH,1559782367,65,15.44,119.9,86.99,3.49
316,Gunnedah,0,AU,1559782368,71,-30.98,150.25,50.0,2.24
317,Soe,0,EE,1559782369,87,57.91,26.05,64.0,2.24
318,Tazovskiy,88,RU,1559782371,81,67.47,78.7,42.71,6.89
319,Tual,97,ID,1559782372,81,-5.67,132.75,82.31,21.99
320,Wukari,100,NG,1559782373,83,7.87,9.78,77.81,11.27
321,Sribne,59,UA,1559782374,90,50.66,32.92,59.63,8.28
322,Inirida,50,CO,1559782376,91,3.87,-67.92,76.55,1.3
323,Constitucion,75,MX,1559782377,10,23.99,-104.67,86.0,17.22
324,Zabaykalsk,27,CN,1559782378,54,49.64,117.33,55.13,2.73
325,Blackburn,100,GB,1559782379,93,53.75,-2.48,50.0,2.24
326,Paciran,51,ID,1559782380,77,-6.9,112.33,76.91,5.1
327,Teguldet,60,RU,1559782382,61,57.31,88.17,58.73,5.06
328,Pecos,75,US,1559782383,44,31.42,-103.49,80.6,4.7
329,Kruisfontein,66,ZA,1559782384,86,-34.0,24.73,51.53,13.47
330,Zarubino,96,RU,1559782385,64,42.65,131.06,68.27,3.65
331,Varkaus,0,FI,1559782386,100,62.32,27.87,60.01,1.12
332,Mufulira,8,ZM,1559782388,84,-12.55,28.24,54.23,4.09
333,Praia da Vitoria,75,PT,1559782389,82,38.73,-27.07,66.2,20.8
334,Vila,0,IT,1559782391,67,45.18,8.4,70.0,4.7
335,Shiraz,0,IR,1559782280,40,29.61,52.54,68.0,4.99
336,Svetlogorsk,40,RU,1559782393,61,53.14,59.15,48.2,6.71
337,Imamoglu,0,TR,1559782394,100,37.26,35.66,73.99,6.93
338,Hamilton,90,CA,1559782315,93,43.26,-79.87,64.99,5.82
339,Tucuman,0,PE,1559782397,51,-17.17,-70.89,58.91,1.97
340,Saint-Francois,0,FR,1559782398,93,46.42,3.91,48.99,3.04
341,Beyneu,0,KZ,1559782399,29,45.32,55.19,69.35,9.4
342,Waitati,89,NZ,1559782204,49,-45.75,170.57,55.0,5.01
343,Port Lincoln,0,AU,1559782402,62,-34.72,135.86,55.31,6.85
344,Hay River,75,CA,1559782403,57,60.82,-115.79,48.2,8.05
345,Tadine,100,NC,1559782404,74,-21.55,167.88,72.95,19.08
346,Te Anau,96,NZ,1559782405,92,-45.41,167.72,38.21,5.14
347,Coahuayana,97,MX,1559782406,50,18.62,-100.35,87.89,2.75
348,Itarema,48,BR,1559782408,83,-2.92,-39.92,78.17,7.14
349,Kovernino,57,RU,1559782409,89,57.13,43.81,56.39,5.75
350,Florianopolis,40,BR,1559782148,93,-27.6,-48.55,64.0,2.24
351,La Ronge,40,CA,1559782411,39,55.1,-105.3,66.2,6.93
352,Mbuji-Mayi,2,CD,1559782412,42,-6.13,23.6,67.91,2.75
353,Bayir,0,TR,1559782414,82,37.27,28.22,59.0,4.7
354,Kaeo,3,NZ,1559782415,97,-35.1,173.78,61.0,16.02
355,Panguna,100,PG,1559782416,72,-6.32,155.48,86.27,10.25
356,Maldonado,0,UY,1559782417,82,-34.91,-54.96,57.2,3.36
357,Russell,0,AR,1559782419,76,-33.01,-68.8,53.6,3.36
358,Beringovskiy,96,RU,1559782420,61,63.05,179.32,53.51,8.23
359,Cuenca,5,ES,1559782140,44,40.07,-2.13,50.0,4.97
360,Phan Thiet,96,VN,1559782399,71,10.93,108.1,81.59,5.57
361,Salinas,1,US,1559782384,53,36.67,-121.66,84.0,18.34
362,Lufilufi,20,WS,1559782425,63,-13.87,-171.6,91.4,18.34
363,Goundi,98,TD,1559782426,54,9.36,17.37,85.19,8.21
364,Shaoguan,86,CN,1559782427,84,24.81,113.59,80.87,4.27
365,Matagami,93,NG,1559782428,96,9.67,8.4,70.79,6.71
366,Kudahuvadhoo,98,MV,1559782424,79,2.67,72.89,83.75,15.64
367,Boa Vista,40,BR,1559782248,74,2.82,-60.67,82.4,2.24
368,Podosinovets,100,RU,1559782432,96,60.28,47.06,56.21,6.35
369,Sauteurs,40,GD,1559782433,78,12.22,-61.63,82.4,14.99
370,Iroquois Falls,40,CA,1559782383,44,48.76,-80.69,59.0,9.17
371,Partyzany,100,UA,1559782436,86,45.14,35.15,67.19,8.01
372,Oksfjord,46,NO,1559782437,71,70.24,22.35,50.0,13.87
373,Simpang,75,MY,1559782438,94,4.82,100.71,78.8,3.36
374,Manokwari,32,ID,1559782146,66,-0.87,134.08,80.51,4.18
